"job_title_list"
"Data Scientist"
"Machine Learning Scientist"
"Big Data Engineer"
"Product Data Analyst"
"Machine Learning Engineer"
"Data Analyst"
"Lead Data Scientist"
"Business Data Analyst"
"Lead Data Engineer"
"Lead Data Analyst"
"Data Engineer"
"Data Science Consultant"
"BI Data Analyst"
"Director of Data Science"
"Research Scientist"
"Machine Learning Manager"
"Data Engineering Manager"
"Machine Learning Infrastructure Engineer"
"ML Engineer"
"AI Scientist"
"Computer Vision Engineer"
"Principal Data Scientist"
"Data Science Manager"
"Head of Data"
"3D Computer Vision Researcher"
"Data Analytics Engineer"
"Applied Data Scientist"
"Marketing Data Analyst"
"Cloud Data Engineer"
"Financial Data Analyst"
"Computer Vision Software Engineer"
"Director of Data Engineering"
"Data Science Engineer"
"Principal Data Engineer"
"Machine Learning Developer"
"Applied Machine Learning Scientist"
"Data Analytics Manager"
"Head of Data Science"
"Data Specialist"
"Data Architect"
"Finance Data Analyst"
"Principal Data Analyst"
"Big Data Architect"
"Staff Data Scientist"
"Analytics Engineer"
"ETL Developer"
"Head of Machine Learning"
"NLP Engineer"
"Lead Machine Learning Engineer"
"Data Analytics Lead"
